"Variant SKU",Command,Handle,"Body HTML","Inventory Available:Home","Inventory Available:MD","Inventory Available:PS",Status,Tags,"Tags Command",Title,Type,"Variant Barcode","Variant Command","Variant Cost","Variant Inventory Policy","Variant Inventory Tracker","Variant Price",Vendor,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Image Src","Image Command","Variant Image",Metafield:custom.argyle_colour,Metafield:custom.certification,Metafield:custom.product_caratprice,Metafield:custom.product_rrp,Metafield:custom.specifications,Metafield:custom.stone_carat,Metafield:custom.stone_clarity,Metafield:custom.stone_colour,Metafield:custom.stone_measurement,Metafield:custom.stone_shape,Metafield:custom.table_specifications,"Variant Fullfilment Service"
SDE-MQHMWM001,,skylar-multicolour-18ct-white-gold-earrings-sde-mqhmwm001,"Stunning and vibrant, these hoop earrings feature alternating marquise cut Australian sapphires, separated by sparkling white diamonds.",1,0.00,0.00,,"sapphire and diamond, hoop, floral, set, Sapphire Dreams, Multicolour, Marquise, Earrings, Earrings, 18ct White Gold, White Gold Metal, Less than 1.00ct",REPLACE,"Skylar Earrings",Earrings,SDE-MQHMWM001,MERGE,1314.30,deny,shopify,2365.75,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MQHMWM001.jpg;https://samsgroup.info/pim-images/SDE-MQHMWM001_4.jpg;https://samsgroup.info/pim-images/SDE-MQHMWM001_5.jpg;https://samsgroup.info/pim-images/sde-18-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MQHMWM001.jpg,,NO,0.00,5950.00,"18ct White Gold = 5.19gm<br>Multi Colour Cluster Sapphire Marquise Cut 12 = 2.10ct<br>RBC 14 = 0.36ct F/VS<br>",0.72,,Multicolour,5.00x2.50mm,Marquise,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-MQSSRM002,,numilla-multicolour-18ct-rose-gold-earrings-sde-mqssrm002,"Unique and beautiful the Numilla earrings showcase an arrangement of marquise cut Australian sapphires and a single sparkling white diamond. They are the perfect elevated stud to pair with any look!",2,0.00,2.00,,"multi colour, studs, matching set, earrings, sapphire and diamond, Sapphire Dreams, Multicolour, Marquise, Earrings, Earrings, 18ct Rose Gold, Rose Gold Metal, Less than 1.00ct",REPLACE,"Numilla Earrings",Earrings,SDE-MQSSRM002,MERGE,379.98,deny,shopify,679.96,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MQSSRM002.jpg;https://samsgroup.info/pim-images/SDE-MQSSRM002_4.jpg;https://samsgroup.info/pim-images/SDE-MQSSRM002_5.jpg;https://samsgroup.info/pim-images/sde-18-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MQSSRM002.jpg,,NO,0.00,1695.00,"18ct Rose Gold = 1.73gm<br>Multi Colour Cluster Sapphire Marquise Cut 4 = 0.53ct<br>Round Brilliant Cut 2 = 0.03ct F/VS<br>",0.36,,Multicolour,5.00x2.50mm,Marquise,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-MQSSWG001,,numilla-green-18ct-white-gold-earrings-sde-mqsswg001,"Unique and beautiful the Numilla earrings showcase an arrangement of marquise cut Australian sapphires and a single sparkling white diamond. They are the perfect elevated stud to pair with any look!",1,0.00,1.00,,"multi colour, studs, matching set, earrings, sapphire and diamond, Sapphire Dreams, Green, Marquise, Earrings, Earrings, 18ct White Gold, White Gold Metal, Less than 1.00ct",REPLACE,"Numilla Earrings",Earrings,SDE-MQSSWG001,MERGE,371.68,deny,shopify,679.96,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MQSSWG001.jpg;https://samsgroup.info/pim-images/SDE-MQSSWG001_4.jpg;https://samsgroup.info/pim-images/SDE-MQSSWG001_5.jpg;https://samsgroup.info/pim-images/sde-18-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MQSSWG001.jpg,,NO,0.00,1695.00,"18ct White Gold = 1.78gm<br>Green Sapphire Marquise Cut 4 = 0.53ct<br>Round Brilliant Cut 2 = 0.03ct F/VS<br>",0.34,,Green,5.00x2.50mm,Marquise,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-MQSSWT001,,numilla-parti-18ct-white-gold-earrings-sde-mqsswt001,"Unique and beautiful the Numilla earrings showcase an arrangement of marquise cut Australian sapphires and a single sparkling white diamond. They are the perfect elevated stud to pair with any look!",1,1.00,0.00,,"multi colour, studs, matching set, earrings, sapphire and diamond, Sapphire Dreams, Parti, Marquise, Earrings, Earrings, 18ct White Gold, White Gold Metal, Less than 1.00ct",REPLACE,"Numilla Earrings",Earrings,SDE-MQSSWT001,MERGE,372.43,deny,shopify,679.96,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MQSSWT001.jpg;https://samsgroup.info/pim-images/SDE-MQSSWT001_4.jpg;https://samsgroup.info/pim-images/SDE-MQSSWT001_5.jpg;https://samsgroup.info/pim-images/sde-18-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MQSSWT001.jpg,,NO,0.00,1695.00,"18ct White Gold = 1.70gm<br>Teal Sapphire Marquise Cut 4 = 0.52ct<br>Round Brilliant Cut 2 = 0.03ct F/VS<br>",0.35,,Parti,5.00x2.50mm,Marquise,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-MQSSWY001,,numilla-yellow-18ct-white-gold-earrings-sde-mqsswy001,"Unique and beautiful the Numilla earrings showcase an arrangement of marquise cut Australian sapphires and a single sparkling white diamond. They are the perfect elevated stud to pair with any look!",1,1.00,0.00,,"multi colour, studs, matching set, earrings, sapphire and diamond, Sapphire Dreams, Yellow, Marquise, Earrings, Earrings, 18ct White Gold, White Gold Metal, Less than 1.00ct",REPLACE,"Numilla Earrings",Earrings,SDE-MQSSWY001,MERGE,378.78,deny,shopify,679.96,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MQSSWY001.jpg;https://samsgroup.info/pim-images/SDE-MQSSWY001_4.jpg;https://samsgroup.info/pim-images/SDE-MQSSWY001_5.jpg;https://samsgroup.info/pim-images/sde-18-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MQSSWY001.jpg,,NO,0.00,1695.00,"18ct White Gold = 1.75gm<br>Yellow Sapphire Marquise Cut 4 = 0.53ct<br>Round Brilliant Cut 2 = 0.03ct F/VS<br>",0.34,,Yellow,5.00x2.50mm,Marquise,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-MQSSYG003,,numilla-green-18ct-yellow-gold-earrings-sde-mqssyg003,"Unique and beautiful the Numilla earrings showcase an arrangement of marquise cut Australian sapphires and a single sparkling white diamond. They are the perfect elevated stud to pair with any look!",1,1.00,0.00,,"multi colour, studs, matching set, earrings, sapphire and diamond, Sapphire Dreams, Green, Marquise, Earrings, Earrings, 18ct Yellow Gold, Yellow Gold Metal, Less than 1.00ct",REPLACE,"Numilla Earrings",Earrings,SDE-MQSSYG003,MERGE,373.93,deny,shopify,679.96,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MQSSYG003.jpg;https://samsgroup.info/pim-images/SDE-MQSSYG003_4.jpg;https://samsgroup.info/pim-images/SDE-MQSSYG003_5.jpg;https://samsgroup.info/pim-images/sde-18-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MQSSYG003.jpg,,NO,0.00,1695.00,"18ct Yellow Gold = 1.84gm<br>Green Sapphire Marquise Cut 4 = 0.54ct<br>Round Brilliant Cut 2 = 0.03ct F/VS<br>",0.37,,Green,5.00x2.50mm,Marquise,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-MQSSYM004,,numilla-multicolour-18ct-yellow-gold-earrings-sde-mqssym004,"Unique and beautiful the Numilla earrings showcase an arrangement of marquise cut Australian sapphires and a single sparkling white diamond. They are the perfect elevated stud to pair with any look!",1,1.00,0.00,,"multi colour, studs, matching set, earrings, sapphire and diamond, Sapphire Dreams, Multicolour, Marquise, Earrings, Earrings, 18ct Yellow Gold, Yellow Gold Metal, Less than 1.00ct",REPLACE,"Numilla Earrings",Earrings,SDE-MQSSYM004,MERGE,374.13,deny,shopify,679.96,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MQSSYM004.jpg;https://samsgroup.info/pim-images/sde-18-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MQSSYM004.jpg,,NO,0.00,1695.00,"18ct Yellow Gold = 1.87gm<br>Multi Colour Cluster Sapphire Marquise Cut 4 = 0.52ct<br>Round Brilliant Cut 2 = 0.03ct F/VS<br>",0.35,,Multicolour,5.00x2.50mm,Marquise,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-MQSSYY002,,numilla-yellow-18ct-yellow-gold-earrings-sde-mqssyy002,"Unique and beautiful the Numilla earrings showcase an arrangement of marquise cut Australian sapphires and a single sparkling white diamond. They are the perfect elevated stud to pair with any look!",2,1.00,1.00,,"multi colour, studs, matching set, earrings, sapphire and diamond, Sapphire Dreams, Yellow, Marquise, Earrings, Earrings, 18ct Yellow Gold, Yellow Gold Metal, Less than 1.00ct",REPLACE,"Numilla Earrings",Earrings,SDE-MQSSYY002,MERGE,378.48,deny,shopify,679.96,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MQSSYY002.jpg;https://samsgroup.info/pim-images/SDE-MQSSYY002_4.jpg;https://samsgroup.info/pim-images/SDE-MQSSYY002_5.jpg;https://samsgroup.info/pim-images/sde-18-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MQSSYY002.jpg,,NO,0.00,1695.00,"18ct Yellow Gold = 1.89gm<br>Yellow Sapphire Marquise Cut 4 = 0.53ct<br>Round Brilliant Cut 2 = 0.03ct F/VS<br>",0.36,,Yellow,5.00x2.50mm,Marquise,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-MXDMYM006,,wild-gypsy-teal-18ct-white-yellow-gold-earrings-sde-mxdmym006,"Glamourous drop earrings, featuring an array of Sapphire colours and cuts, set in 18ct yellow and white gold.",1,0.00,0.00,,"drop, multicolour, cluster, sapphire and diamond
, Sapphire Dreams, Teal, Baguette, Earrings, Earrings, 18ct White & Yellow Gold, Yellow Gold Metal, Less than 1.00ct",REPLACE,"Wild Gypsy Earrings",Earrings,SDE-MXDMYM006,MERGE,1794.63,deny,shopify,3375.55,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MXDMYM006.jpg;https://samsgroup.info/pim-images/SDE-MXDMYM006_4.jpg;https://samsgroup.info/pim-images/SDE-MXDMYM006_5.jpg;https://samsgroup.info/pim-images/sde-18-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MXDMYM006.jpg,,NO,0.00,8450.00,"18ct White & Yellow Gold = 7.02gm<br>Teal Sapphire Baguette Cut 6 = 0.71ct<br>Parti Sapphire Baguette Cut 6 = 1.61ct<br>Blue Sapphire Radiant Cut 2 = 1.18ct<br>Teal Sapphire Princess Cut 4 = 0.74ct<br>Round Brilliant Cut 6 = 0.26ct F/VS<br>",0.41,,Teal,3.00x2.00mm,Baguette,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-MXHSWM001,,melody-multicolour-9ct-white-gold-earrings-sde-mxhswm001,"The Melody earrings feature alternating marquise and baguette cut Australian sapphires in a channel setting. These hoops are unique and stylish, the perfect addition to your jewellery collection.",1,0.00,1.00,,"hoop, channel, set, Sapphire Dreams, Multicolour, Marquise, Earrings, Earrings, 9ct White Gold, White Gold Metal, Less than 1.00ct",REPLACE,"Melody Earrings",Earrings,SDE-MXHSWM001,MERGE,406.34,deny,shopify,804.50,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MXHSWM001.jpg;https://samsgroup.info/pim-images/SDE-MXHSWM001_4.jpg;https://samsgroup.info/pim-images/SDE-MXHSWM001_5.jpg;https://samsgroup.info/pim-images/sde-9-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MXHSWM001.jpg,,NO,0.00,2050.00,"9ct White Gold = 4.29gm<br>Teal Sapphire Marquise Cut 4 = 0.69ct<br>Blue Sapphire Baguette Cut 2 = 0.39ct<br>",0.69,,Multicolour,5.00x2.50mm,Marquise,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-MXHSWM002,,melody-multicolour-9ct-white-gold-earrings-sde-mxhswm002,"The Melody earrings feature alternating marquise and baguette cut Australian sapphires in a channel setting. These hoops are unique and stylish, the perfect addition to your jewellery collection.",1,0.00,1.00,,"hoop, channel, multicolour, set
, Sapphire Dreams, Multicolour, Marquise, Earrings, Earrings, 9ct White Gold, White Gold Metal, Less than 1.00ct",REPLACE,"Melody Earrings",Earrings,SDE-MXHSWM002,MERGE,420.29,deny,shopify,804.50,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-MXHSWM002.jpg;https://samsgroup.info/pim-images/SDE-MXHSWM002_4.jpg;https://samsgroup.info/pim-images/SDE-MXHSWM002_5.jpg;https://samsgroup.info/pim-images/sde-9-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-MXHSWM002.jpg,,NO,0.00,2050.00,"9ct White Gold = 4.15gm<br>Yellow Sapphire Marquise Cut 4 = 0.66ct<br>Blue Sapphire Baguette Cut 2 = 0.47ct<br>",0.66,,Multicolour,5.00x2.50mm,Marquise,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDE-OVSSWB002,,clarissa-blue-18ct-white-gold-earrings-sde-ovsswb002,"Exuding elegance and grace, the Clarissa Earrings features two oval shaped Blue Australian Sapphires, surrounded by a halo of sparkling round cut White Diamonds. Set in durable 18ct White Gold, these stud earrings are the perfect addition to your everyday style.",2,1.00,1.00,,"sapphire and diamond, stud, halo, set, Sapphire Dreams, Blue, Oval, Earrings, Earrings, 18ct White Gold, White Gold Metal, Less than 1.00ct",REPLACE,"Clarissa Oval Sapphire Earrings",Earrings,SDE-OVSSWB002,MERGE,454.59,deny,shopify,837.00,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDE-OVSSWB002.jpg;https://samsgroup.info/pim-images/SDE-OVSSWB002_4.jpg;https://samsgroup.info/pim-images/SDE-OVSSWB002_5.jpg;https://samsgroup.info/pim-images/SDE-OVSSWB002_6.jpg;https://samsgroup.info/pim-images/sde-18-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDE-OVSSWB002.jpg,,NO,0.00,2095.00,"18ct White Gold = 1.37gm<br>Blue Sapphire Oval Cut 2 = 0.63ct<br>Round Brilliant Cut 28 = 0.14ct F/VS<br>",0.63,,Blue,5.00x3.00mm,Oval,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
