stock_code,name,EAN,qty_avail,qty_held,order_qty_min,order_qty_step,price,rrp,special,cost,image,description,category,subcategory,"Custom field 1","Custom field 2","Custom field 3","Custom field 4","Custom field 5","Custom field 6","Custom field 7","Custom field 8","Custom field 9"
05-07G,"Gents Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass",05-07G,26.00,,1,,126.00,315.00,,,05-07G,,"Classique Watches","Strap Watch","Gents Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 26.00",,
05-100G-STRP,"Tatum Gents Elegance GP S/Steel Strap Swiss Quartz Mineral Glass 22x30mm",05-100G-STRP,4.00,,1,,198.00,495.00,,,05-100G-STRP,,"Classique Watches","Strap Watch","Gents Elegance","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 5.00 - Appro: 6",,
05-20G,"Gents Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass",05-20G,25.00,,1,,152.00,380.00,,,05-20G,,"Classique Watches","Strap Watch","Gents Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 27.00",,
05-35G-STRP,"Gents Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass",05-35G-STRP,141.00,,1,,194.00,485.00,,,05-35G-STRP,,"Classique Watches","Strap Watch","Gents Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 141.00",,
05-36G-STRP,"Ladies Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass",05-36G-STRP,16.00,,1,,194.00,485.00,,,05-36G-STRP,,"Classique Watches","Strap Watch","Ladies Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 16.00",,
05-38G-OPD,"Ladies Opal GP S/Steel Strap Australian Opal Swiss Quartz Mineral Glass",05-38G-OPD,11.00,,1,,254.00,635.00,,,05-38G-OPD,,"Classique Watches","Strap Watch","Ladies Opal","GP S/Steel",,Strap,"Australian Opal","Swiss Quartz Mineral Glass","W/H: 11.00",,
05-42G-OPD,"Ladies Opal GP S/Steel Bracelet Australian Opal Swiss Quartz Mineral Glass",05-42G-OPD,1.00,,1,,374.00,935.00,,,05-42G-OPD,,"Classique Watches","Bracelet Watch","Ladies Opal","GP S/Steel",,Bracelet,"Australian Opal","Swiss Quartz Mineral Glass","W/H: 1.00",,
05-44G-STRP,"Ladies Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass",05-44G-STRP,56.00,,1,,122.00,305.00,,,05-44G-STRP,,"Classique Watches","Strap Watch","Ladies Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 56.00",,
05-45B-STRP,"Conqueror Gents Clearance 50% 2T GP S/Steel Rotating Bezel Strap Luminous Hands Quartz Mineral Glass Date",05-45B-STRP,49.00,,1,,252.00,630.00,,,05-45B-STRP,,"Classique Watches","Strap Watch","Gents Clearance 50%","2T GP S/Steel","Rotating Bezel",Strap,"Luminous Hands","Quartz Mineral Glass","W/H: 49.00",,
05-46B-STRP,"Conqueror Ladies Clearance 50% 2T GP S/Steel Rotating Bezel Strap Luminous Hands Index Swiss Quartz Mineral Glass Date",05-46B-STRP,120.00,,1,,252.00,630.00,,,05-46B-STRP,,"Classique Watches","Strap Watch","Ladies Clearance 50%","2T GP S/Steel","Rotating Bezel",Strap,"Luminous Hands Index","Swiss Quartz Mineral Glass","W/H: 120.00",,
05-47G-STRP,"Conqueror Gents Clearance 50% GP S/Steel Rotating Bezel Strap Luminous Hands Index Swiss Quartz Mineral Glass Date",05-47G-STRP,36.00,,1,,252.00,630.00,,,05-47G-STRP,,"Classique Watches","Strap Watch","Gents Clearance 50%","GP S/Steel","Rotating Bezel",Strap,"Luminous Hands Index","Swiss Quartz Mineral Glass","W/H: 36.00",,
05-48G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",05-48G,71.00,,1,,468.00,1170.00,,,05-48G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 71.00",,
05-58B,"Ladies Clearance 50% 2T GP S/Steel Bracelet Swiss Quartz Mineral Glass Date",05-58B,2.00,,1,,240.00,600.00,,,05-58B,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","2T GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 2.00",,
05-70BR,"Ladies Clearance 50% 2T RGP S/Steel Swiss Quartz Mineral Glass",05-70BR,1.00,,1,,286.00,715.00,,,05-70BR,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","2T RGP S/Steel",,,,"Swiss Quartz Mineral Glass","W/H: 1.00",,
06-08G,"Gents Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass",06-08G,47.00,,1,,122.00,305.00,,,06-08G,,"Classique Watches","Strap Watch","Gents Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 47.00",,
07-56G,"Ladies Clearance 50% GP S/Steel Mesh Band Swiss Quartz Mineral Glass 12x20mm",07-56G,15.00,,1,,132.00,330.00,,,07-56G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,"Mesh Band",,"Swiss Quartz Mineral Glass","W/H: 16.00",,
07-67G,"Ladies Clearance 50% GP S/Steel Mesh Band Swiss Quartz",07-67G,1.00,,1,,132.00,330.00,,,07-67G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,"Mesh Band",,"Swiss Quartz","W/H: 1.00",,
08-03G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz",08-03G,21.00,,1,,146.00,365.00,,,08-03G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz","W/H: 21.00",,
09-100B,"Ladies Fashion 2T GP S/Steel Half Bangle Swiss Quartz Mineral Glass Date",09-100B,10.00,,1,,174.00,435.00,,,09-100B,,"Classique Watches","Half Bangle Watch","Ladies Fashion","2T GP S/Steel",,"Half Bangle",,"Swiss Quartz Mineral Glass","W/H: 10.00",,
09-107G,"Ladies Fashion GP S/Steel Half Bangle Quartz Mineral Glass",09-107G,4.00,,1,,174.00,435.00,,,09-107G,,"Classique Watches","Half Bangle Watch","Ladies Fashion","GP S/Steel",,"Half Bangle",,"Quartz Mineral Glass","W/H: 4.00 - Appro: 1",,
09-113R,"Ladies Fashion RGP S/Steel Half Bangle Swiss Quartz Mineral Glass",09-113R,1.00,,1,,174.00,435.00,,,09-113R,,"Classique Watches","Half Bangle Watch","Ladies Fashion","RGP S/Steel",,"Half Bangle",,"Swiss Quartz Mineral Glass","W/H: 1.00",,
09-123G-BLET,"Gents Premier Slimline GP S/Steel Bracelet Swiss Quartz Sapphire Crystal 34mm",09-123G-BLET,91.00,,1,,350.00,875.00,,,09-123G-BLET,,"Classique Watches","Bracelet Watch","Gents Premier Slimline","GP S/Steel",,Bracelet,,"Swiss Quartz Sapphire Crystal","W/H: 91.00",,
09-123W-BLET,"Gents Premier Slimline S/Steel Bracelet Swiss Quartz Sapphire Crystal 34mm",09-123W-BLET,44.00,,1,,330.00,825.00,,,09-123W-BLET,,"Classique Watches","Bracelet Watch","Gents Premier Slimline",S/Steel,,Bracelet,,"Swiss Quartz Sapphire Crystal","W/H: 44.00 - Appro: 1",,
09-17W,"Gents Clearance 50% RH S/Steel Strap Swiss Quartz Mineral Glass",09-17W,1.00,,1,,160.00,400.00,,,09-17W,,"Classique Watches","Strap Watch","Gents Clearance 50%","RH S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 1.00",,
09-19G,"Gents Clearance 50% GP S/Steel Flexi Band Swiss Quartz Mineral Glass",09-19G,1.00,,1,,172.00,430.00,,,09-19G,,"Classique Watches","Bracelet Watch","Gents Clearance 50%","GP S/Steel",,"Flexi Band",,"Swiss Quartz Mineral Glass","W/H: 1.00",,
09-20G,"Ladies Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass",09-20G,1.00,,1,,120.00,300.00,,,09-20G,,"Classique Watches","Strap Watch","Ladies Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 1.00",,
09-22B,"Ladies Clearance 50% 2T GP S/Steel Strap Swiss Quartz Mineral Glass",09-22B,17.00,,1,,132.00,330.00,,,09-22B,,"Classique Watches","Strap Watch","Ladies Clearance 50%","2T GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 17.00",,
09-29G,"Gents Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass",09-29G,21.00,,1,,266.00,665.00,,,09-29G,,"Classique Watches","Strap Watch","Gents Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 21.00",,
09-32B,"Ladies Clearance 50% 2T GP S/Steel Half Bangle Swiss Quartz Mineral Glass",09-32B,1.00,,1,,240.00,600.00,,,09-32B,,"Classique Watches","Half Bangle Watch","Ladies Clearance 50%","2T GP S/Steel",,"Half Bangle",,"Swiss Quartz Mineral Glass","W/H: 1.00",,
09-36B,"Ladies Clearance 50% 2T GP S/Steel Bracelet Swiss Quartz Mineral Glass",09-36B,8.00,,1,,240.00,600.00,,,09-36B,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","2T GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 8.00",,
09-46B,"Ladies Clearance 50% 2T GP S/Steel Bracelet Swiss Quartz Mineral Glass",09-46B,15.00,,1,,180.00,495.00,,,09-46B,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","2T GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 15.00 - Appro: 1",,
09-48B,"Ladies Clearance 50% 2T GP S/Steel Bracelet Swiss Quartz Mineral Glass",09-48B,5.00,,1,,180.00,495.00,,,09-48B,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","2T GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 5.00",,
09-49R,"Unisex Clearance 50% RGP S/Steel Strap Swiss Quartz Mineral Glass",09-49R,13.00,,1,,168.00,420.00,,,09-49R,,"Classique Watches","Strap Watch","Unisex Clearance 50%","RGP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 13.00",,
09-69G,"Gents Premier Slimline GP S/Steel Bracelet Swiss Quartz Mineral Glass Date",09-69G,24.00,,1,,350.00,875.00,,,09-69G,,"Classique Watches","Bracelet Watch","Gents Premier Slimline","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 24.00",,
09-78W,"Ladies Fashion RH S/Steel Half Bangle Swiss Quartz Mineral Glass",09-78W,1.00,,1,,290.00,725.00,,,09-78W,,"Classique Watches","Half Bangle Watch","Ladies Fashion","RH S/Steel",,"Half Bangle",,"Swiss Quartz Mineral Glass","W/H: 1.00",,
09-84W,"Ladies Clearance 50% RH S/Steel Half Bangle Swiss Quartz Mineral Glass",09-84W,1.00,,1,,154.00,385.00,,,09-84W,,"Classique Watches","Half Bangle Watch","Ladies Clearance 50%","RH S/Steel",,"Half Bangle",,"Swiss Quartz Mineral Glass","W/H: 1.00",,
09-86G,"India Ladies Fashion GP S/Steel Half Bangle Swiss Quartz Sapphire Crystal 26mm Date",09-86G,30.00,,1,,174.00,435.00,,,09-86G,,"Classique Watches","Half Bangle Watch","Ladies Fashion","GP S/Steel",,"Half Bangle",,"Swiss Quartz Sapphire Crystal","W/H: 30.00 - Appro: 1",,
09-88B,"Ladies Fashion 2T Rose Gold Half Bangle Swiss Quartz Mineral Glass Date",09-88B,3.00,,1,,174.00,435.00,,,09-88B,,"Classique Watches","Half Bangle Watch","Ladies Fashion","2T Rose Gold",,"Half Bangle",,"Swiss Quartz Mineral Glass","W/H: 3.00",,
09-90W,"Ladies Fashion S/Steel Half Bangle Swiss Quartz Mineral Glass Date",09-90W,1.00,,1,,174.00,435.00,,,09-90W,,"Classique Watches","Half Bangle Watch","Ladies Fashion",S/Steel,,"Half Bangle",,"Swiss Quartz Mineral Glass","W/H: 1.00",,
09-92B,"Ladies Fashion 2T GP S/Steel Half Bangle Swiss Quartz Mineral Glass Date",09-92B,1.00,,1,,174.00,435.00,,,09-92B,,"Classique Watches","Half Bangle Watch","Ladies Fashion","2T GP S/Steel",,"Half Bangle",,"Swiss Quartz Mineral Glass","W/H: 1.00",,
09-94G,"Ivory Ladies Fashion GP S/Steel Half Bangle Swiss Quartz Sapphire Crystal 22x22mm Date",09-94G,37.00,,1,,174.00,435.00,,,09-94G,,"Classique Watches","Half Bangle Watch","Ladies Fashion","GP S/Steel",,"Half Bangle",,"Swiss Quartz Sapphire Crystal","W/H: 37.00",,
09-96BR,"Shelby Ladies Fashion 2T RGP S/Steel Half Bangle Swiss Quartz Sapphire Crystal 22x22mm Date",09-96BR,10.00,,1,,174.00,435.00,,,09-96BR,,"Classique Watches","Half Bangle Watch","Ladies Fashion","2T RGP S/Steel",,"Half Bangle",,"Swiss Quartz Sapphire Crystal","W/H: 10.00",,
09-96R,"Shelby Ladies Fashion RGP S/Steel Half Bangle Swiss Quartz Sapphire Crystal 22x22mm Date",09-96R,39.00,,1,,174.00,435.00,,,09-96R,,"Classique Watches","Half Bangle Watch","Ladies Fashion","RGP S/Steel",,"Half Bangle",,"Swiss Quartz Sapphire Crystal","W/H: 39.00 - Appro: 2",,
09-98W,"Ladies Fashion S/Steel Half Bangle Swiss Quartz Mineral Glass Date",09-98W,16.00,,1,,174.00,435.00,,,09-98W,,"Classique Watches","Half Bangle Watch","Ladies Fashion",S/Steel,,"Half Bangle",,"Swiss Quartz Mineral Glass","W/H: 16.00",,
10-101G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-101G,43.00,,1,,214.00,535.00,,,10-101G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 43.00",,
10-102G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-102G,87.00,,1,,214.00,535.00,,,10-102G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 87.00",,
10-106G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-106G,48.00,,1,,242.00,605.00,,,10-106G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 48.00",,
10-107G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-107G,9.00,,1,,242.00,605.00,,,10-107G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 9.00",,
10-108G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-108G,16.00,,1,,220.00,550.00,,,10-108G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 16.00",,
10-109G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-109G,109.00,,1,,214.00,535.00,,,10-109G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 109.00",,
10-114G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-114G,69.00,,1,,214.00,535.00,,,10-114G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 69.00",,
10-115B,"Ladies Clearance 50% 2T GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-115B,41.00,,1,,214.00,535.00,,,10-115B,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","2T GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 41.00",,
10-116B,"Ladies Clearance 50% 2T GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-116B,3.00,,1,,214.00,535.00,,,10-116B,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","2T GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 3.00",,
10-118W,"Ladies Clearance 50% RH S/Steel Bracelet CZ Swiss Quartz Mineral Glass",10-118W,9.00,,1,,240.00,600.00,,,10-118W,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","RH S/Steel",,"Bracelet CZ",,"Swiss Quartz Mineral Glass","W/H: 9.00",,
10-120B,"Ladies Clearance 50% 2T GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-120B,53.00,,1,,194.00,485.00,,,10-120B,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","2T GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 53.00",,
10-122G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-122G,13.00,,1,,160.00,400.00,,,10-122G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 13.00",,
10-131G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-131G,7.00,,1,,214.00,535.00,,,10-131G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 7.00",,
10-133G,"Ladies Clearance 50% GP S/Steel Stone Bracelet Swiss Quartz Mineral Glass",10-133G,10.00,,1,,346.00,865.00,,,10-133G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",Stone,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 10.00",,
10-134W,"Ladies Clearance 50% RH S/Steel Cubic Zirconia Bracelet Swiss Quartz Mineral Glass",10-134W,110.00,,1,,346.00,865.00,,,10-134W,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","RH S/Steel","Cubic Zirconia",Bracelet,,"Swiss Quartz Mineral Glass","W/H: 110.00",,
10-135G,"Ladies Clearance 50% GP S/Steel Stone Bracelet Swiss Quartz Mineral Glass",10-135G,8.00,,1,,346.00,865.00,,,10-135G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",Stone,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 8.00",,
10-136W,"Ladies Clearance 50% RH S/Steel Bracelet Swiss Quartz Mineral Glass",10-136W,4.00,,1,,266.00,665.00,,,10-136W,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","RH S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 4.00",,
10-137G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-137G,18.00,,1,,266.00,665.00,,,10-137G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 18.00",,
10-139W,"Ladies Clearance 50% RH S/Steel Swarovski Bracelet Swiss Quartz Mineral Glass",10-139W,31.00,,1,,240.00,600.00,,,10-139W,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","RH S/Steel",Swarovski,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 31.00",,
10-17G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-17G,9.00,,1,,200.00,500.00,,,10-17G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 9.00",,
10-41G,"Gents Clearance 50% GP S/Steel Bracelet Swiss Quartz",10-41G,9.00,,1,,240.00,600.00,,,10-41G,,"Classique Watches","Bracelet Watch","Gents Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz","W/H: 9.00",,
10-44G,"Gents Clearance 50% GP S/Steel Bracelet Swiss Quartz",10-44G,6.00,,1,,132.00,330.00,,,10-44G,,"Classique Watches","Bracelet Watch","Gents Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz","W/H: 6.00",,
10-45G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-45G,21.00,,1,,132.00,330.00,,,10-45G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 21.00",,
10-63W-OPD,"Ladies Opal RH S/Steel Bracelet Australian Opal Swiss Quartz Mineral Glass",10-63W-OPD,31.00,,1,,258.00,645.00,,,10-63W-OPD,,"Classique Watches","Bracelet Watch","Ladies Opal","RH S/Steel",,Bracelet,"Australian Opal","Swiss Quartz Mineral Glass","W/H: 31.00",,
10-67AG,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-67AG,29.00,,1,,214.00,535.00,,,10-67AG,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 29.00",,
10-73G,"Gents Clearance 50% GP S/Steel Bracelet Swiss Quartz",10-73G,10.00,,1,,240.00,600.00,,,10-73G,,"Classique Watches","Bracelet Watch","Gents Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz","W/H: 10.00",,
10-76G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-76G,8.00,,1,,186.00,465.00,,,10-76G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 8.00",,
10-78G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-78G,23.00,,1,,240.00,600.00,,,10-78G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 23.00",,
10-80G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-80G,38.00,,1,,214.00,535.00,,,10-80G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 38.00",,
10-81G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-81G,6.00,,1,,240.00,600.00,,,10-81G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 6.00",,
10-84G,"Ladies Clearance 50% GP S/Steel Cubic Zirconia Bracelet Swiss Quartz Mineral Glass",10-84G,33.00,,1,,240.00,600.00,,,10-84G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel","Cubic Zirconia",Bracelet,,"Swiss Quartz Mineral Glass","W/H: 33.00",,
10-85G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-85G,7.00,,1,,240.00,600.00,,,10-85G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 7.00",,
10-86G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-86G,34.00,,1,,240.00,230.00,,,10-86G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 34.00",,
10-90G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-90G,97.00,,1,,194.00,230.00,,,10-90G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 97.00",,
10-91G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-91G,4.00,,1,,214.00,535.00,,,10-91G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 4.00",,
10-92B,"Ladies Clearance 50% 2T GP S/Steel Swiss Quartz",10-92B,7.00,,1,,214.00,535.00,,,10-92B,,"Classique Watches",,"Ladies Clearance 50%","2T GP S/Steel",,,,"Swiss Quartz","W/H: 7.00",,
10-95G,"Ladies Clearance 50% GP S/Steel Bracelet Swiss Quartz Mineral Glass",10-95G,20.00,,1,,240.00,600.00,,,10-95G,,"Classique Watches","Bracelet Watch","Ladies Clearance 50%","GP S/Steel",,Bracelet,,"Swiss Quartz Mineral Glass","W/H: 20.00",,
