SKU,Brand,Measurement,Stone_Intensity,Product_Type,Stone_Specifications,Stone_Shape,Collections,Carat_Weight,Stone_Colour,Treatment,Description,Centre_Stone_SKU
SDD-OVNPYB005,"Sapphire Dreams",8.00x6.00mm,1.34,Rings,"ID No.: SDD-OVNPYB005<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 1.34ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.34,"Teal Blue",,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPYB006,"Sapphire Dreams",8.00x6.00mm,1.43,Rings,"ID No.: SDD-OVNPYB006<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 1.43ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.43,"Teal Blue",,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPYB007,"Sapphire Dreams",8.00x6.00mm,1.46,Rings,"ID No.: SDD-OVNPYB007<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 1.46ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.46,"Teal Blue",,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPYB008,"Sapphire Dreams",8.00x6.00mm,1.23,Rings,"ID No.: SDD-OVNPYB008<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 1.23ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.23,"Teal Blue",,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPYG001,"Sapphire Dreams",8.40x6.00mm,1.93,Rings,"ID No.: SDD-OVNPYG001<br>Colour: GREEN <br>Shape: OVAL<br>Weight: 1.93ct<br>Size: 8.40x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.93,"Green ",Unheated,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPYG002,"Sapphire Dreams",7.70x5.60mm,1.27,Rings,"ID No.: SDD-OVNPYG002<br>Colour: YELLOW GREEN <br>Shape: OVAL<br>Weight: 1.27ct<br>Size: 7.70x5.60mm<br>Origin: AUSTRALIA",Oval,Signet,1.27,"Yellow Green ",Unheated,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-PENPWG001,"Sapphire Dreams",8.50x5.50mm,1.28,Rings,"ID No.: SDD-PENPWG001<br>Colour: GREEN<br>Shape: PEAR<br>Weight: 1.28ct<br>Size: 8.50x5.50mm<br>Origin: AUSTRALIA",Pear,Signet,1.28,Green,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-PENPWG002,"Sapphire Dreams",8.50x5.50mm,1.08,Rings,"ID No.: SDD-PENPWG002<br>Colour: GREEN<br>Shape: PEAR<br>Weight: 1.08ct<br>Size: 8.50x5.50mm<br>Origin: AUSTRALIA",Pear,Signet,1.08,Green,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-PENPWY001,"Sapphire Dreams",8.30x5.30mm,1.12,Rings,"ID No.: SDD-PENPWY001<br>Colour: YELLOW<br>Shape: PEAR<br>Weight: 1.12ct<br>Size: 8.30x5.30mm<br>Origin: AUSTRALIA",Pear,Rings,1.12,Yellow,,,
SDD-PENPYB001,"Sapphire Dreams",7.00x5.00mm,0.80,Rings,"ID No.: SDD-PENPYB001<br>Colour: BLUE<br>Shape: PEAR<br>Weight: 0.80ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Pear,Signet,0.80,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-PENPYG001,"Sapphire Dreams",8.50x5.50mm,1.44,Rings,"ID No.: SDD-PENPYG001<br>Colour: GREEN<br>Shape: PEAR<br>Weight: 1.44ct<br>Size: 8.50x5.50mm<br>Origin: AUSTRALIA",Pear,Signet,1.44,Green,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-PENPYP001,"Sapphire Dreams",8.50x5.50mm,1.13,Rings,"ID No.: SDD-PENPYP001<br>Colour: PARTI<br>Shape: PEAR<br>Weight: 1.13ct<br>Size: 8.50x5.50mm<br>Origin: AUSTRALIA",Pear,Signet,1.13,Parti,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-PENPYT001,"Sapphire Dreams",7.00x5.00mm,0.77,Rings,"ID No.: SDD-PENPYT001<br>Colour: GREEN TEAL<br>Shape: PEAR<br>Weight: 0.77ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Pear,Signet,0.77,"Green Teal",,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-RANPWB001,"Sapphire Dreams",8.00x6.00mm,1.49,Rings,"ID No.: SDD-RANPWB001<br>Colour: BLUE<br>Shape: RADIANT<br>Weight: 1.49ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Radiant,Signet,1.49,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-RANPWB002,"Sapphire Dreams",8.50x6.50mm,1.92,Rings,"ID No.: SDD-RANPWB002<br>Colour: BLUE<br>Shape: RADIANT<br>Weight: 1.92ct<br>Size: 8.50x6.50mm<br>Origin: AUSTRALIA",Radiant,Signet,1.92,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-RANPYB001,"Sapphire Dreams",8.00x6.00mm,1.45,Rings,"ID No.: SDD-RANPYB001<br>Colour: BLUE<br>Shape: RADIANT<br>Weight: 1.45ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Radiant,Signet,1.45,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-RANPYB002,"Sapphire Dreams",8.00x6.00mm,1.49,Rings,"ID No.: SDD-RANPYB002<br>Colour: BLUE<br>Shape: RADIANT<br>Weight: 1.49ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Radiant,Signet,1.49,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-RDDLBB001,"Sapphire Dreams",7.40mm,1.68,Rings,"ID No.: SDD-RDDLBB001<br>Colour: BLUE<br>Shape: ROUND<br>Weight: 1.68ct<br>Size: 7.40mm<br>Origin: AUSTRALIA",Round,Prestige,1.68,Blue,,"This ring is glamourous and luxurious, showcasing a stunning round cut Australian sapphire surrounded by a delicate arrangement of white diamonds. This piece can ",
SDE-RDSSRT014,"Sapphire Dreams",6.00mm,1.14,Earrings,"ID No.: SDE-RDSSRT014<br>Colour: TEAL<br>Shape: ROUND<br>Weight: 1.14ct<br>Size: 6.00mm<br>Origin: AUSTRALIA",Round,Earrings,1.14,Teal,,"The Maira earrings are a subtle, understated touch of luxury, the perfect way to accessorise any look! Each stud showcases a stunning Australian sapphire, set in a delicate claw.
",
SDE-RDSSWP002,"Sapphire Dreams",6.00mm,1.16,Earrings,"ID No.: SDE-RDSSWP002<br>Colour: PARTI<br>Shape: ROUND<br>Weight: 1.16ct<br>Size: 6.00mm<br>Origin: AUSTRALIA",Round,Earrings,1.16,Parti,,"The Maira earrings are a subtle, understated touch of luxury, the perfect way to accessorise any look! Each stud showcases a stunning Australian sapphire, set in a delicate claw.
",
SDE-RDSSYT007,"Sapphire Dreams",6.00mm,1.08,Earrings,"ID No.: SDE-RDSSYT007<br>Colour: TEAL<br>Shape: ROUND<br>Weight: 1.08ct<br>Size: 6.00mm<br>Origin: AUSTRALIA",Round,Earrings,1.08,Teal,,"The Maira earrings are a subtle, understated touch of luxury, the perfect way to accessorise any look! Each stud showcases a stunning Australian sapphire, set in a delicate claw.
",
SDP-EMCSBB001,"Sapphire Dreams",7.00x5.00mm,1.00,Necklaces,"ID No.: SDP-EMCSBB001<br>Colour: BLUE<br>Shape: EMERALD<br>Weight: 1.00ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Emerald,Necklaces,1.00,Blue,,"A classic piece, the Vincent Necklace features a gorgeous radiant cut Blue Australian Sapphire, set in an 18ct Yellow Gold claw, surrounded by a halo of White Diamonds. This pendant is set on an 18ct White Gold chain.",
SDP-EMCSBB002,"Sapphire Dreams",7.00x5.00mm,1.00,Necklaces,"ID No.: SDP-EMCSBB002<br>Colour: BLUE<br>Shape: EMERALD<br>Weight: 1.00ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Emerald,Necklaces,1.00,Blue,,"A classic piece, the Vincent necklace features a gorgeous Radiant cut Australian Blue Sapphire, set in an 18ct Yellow Gold claw, surrounded by a halo of White Diamonds. This pendant is set on an 18ct White Gold chain.",
SDP-EMCSBB003,"Sapphire Dreams",7.00x5.00mm,0.90,Necklaces,"ID No.: SDP-EMCSBB003<br>Colour: BLUE<br>Shape: EMERALD<br>Weight: 0.90ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Emerald,Necklaces,0.90,Blue,,"Beautiful and elegant, the Seisa necklace features a Radiant cut Australian Blue Sapphire, set in an 18ct Yellow Gold claw. The pendant is elevated by stunning White Diamonds, adding sparkle to the look, set on an 18ct White Gold Chain.",
SDP-EMCSBB004,"Sapphire Dreams",7.00x5.00mm,1.14,Necklaces,"ID No.: SDP-EMCSBB004<br>Colour: BLUE<br>Shape: EMERALD<br>Weight: 1.14ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Emerald,Necklaces,1.14,Blue,,"Beautiful and elegant, the Seisia Necklace features a Radiant cut Australian Blue Sapphire, set in an 18ct Yellow Gold claw. The pendant is elevated by stunning White Diamonds, adding sparkle to the look, set on an 18ct White Gold Chain.",
SDP-EMCSWT001,"Sapphire Dreams",7.00x5.20mm,1.33,Necklaces,"ID No.: SDP-EMCSWT001<br>Colour: TEAL<br>Shape: EMERALD<br>Weight: 1.33ct<br>Size: 7.00x5.20mm<br>Origin: AUSTRALIA",Emerald,Necklaces,1.33,Teal,,"Classic and timeless, our Adelia necklace is the perfect accessory to match any outfit. Adelia features a single Australian sapphires within a bezel setting placed on a delicate chain.
",
SDP-EMCSYG001,"Sapphire Dreams",7.50x5.50mm,1.44,Necklaces,"ID No.: SDP-EMCSYG001<br>Colour: GREEN<br>Shape: EMERALD<br>Weight: 1.44ct<br>Size: 7.50x5.50mm<br>Origin: AUSTRALIA",Emerald,Necklaces,1.44,Green,,,
SDP-EMCSYP002,"Sapphire Dreams",7.50x5.50mm,1.52,Necklaces,"ID No.: SDP-EMCSYP002<br>Colour: PARTI<br>Shape: EMERALD<br>Weight: 1.52ct<br>Size: 7.50x5.50mm<br>Origin: AUSTRALIA",Emerald,Necklaces,1.52,Parti,,,
SDP-EMCSYT001,"Sapphire Dreams",7.00x5.50mm,1.74,Necklaces,"ID No.: SDP-EMCSYT001<br>Colour: TEAL<br>Shape: EMERALD<br>Weight: 1.74ct<br>Size: 7.00x5.50mm<br>Origin: AUSTRALIA",Emerald,Necklaces,1.74,Teal,,"Classic and timeless, our Adelia necklace is the perfect accessory to match any outfit. Adelia features a single Australian sapphires within a bezel setting placed on a delicate chain.
",
SDP-EMMSYG007,"Sapphire Dreams",6.00x4.00mm,0.68,Necklaces,"ID No.: SDP-EMMSYG007<br>Colour: GREEN<br>Shape: EMERALD<br>Weight: 0.68ct<br>Size: 6.00x4.00mm<br>Origin: AUSTRALIA",Emerald,Necklaces,0.68,Green,,,
SDP-OVCMWB001,"Sapphire Dreams",9.07x7.18mm,2.16,Necklaces,"ID No.: SDP-OVCMWB001<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 2.16ct<br>Size: 9.07x7.18mm<br>Origin: AUSTRALIA",Oval,Necklaces,2.16,Blue,,"The Sariya Pendant presents a spectacular oval shaped Blue Australian Sapphire, exquisitely haloed by dazzling round White Diamonds. Set in 18ct White Gold, a durable and long lasting metal, this gorgeous pendant will surely give an elegant touch to any look.",
SDP-OVCSBB001,"Sapphire Dreams",7.00x5.00mm,0.93,Necklaces,"ID No.: SDP-OVCSBB001<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 0.93ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,Necklaces,0.93,Blue,,"The Montrose necklace displays a gorgeous Oval Cut Australian Blue Sapphire, surrounded by an intricate halo of white diamonds with a point at the bottom. This style is crafted in 18ct White and Yellow Gold.",
SDP-OVCSBP001,"Sapphire Dreams",7.00x5.00mm,0.83,Necklaces,"ID No.: SDP-OVCSBP001<br>Colour: PARTI<br>Shape: OVAL<br>Weight: 0.83ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,Necklaces,0.83,Parti,,"A beautiful Parti Sapphire is enhanced by the unique White Diamond halo featuring a point at the bottom. The Alinta pendant set in 18ct White Gold, with a Yellow Gold claw.",
SDP-OVCSBT001,"Sapphire Dreams",7.00x5.00mm,0.95,Necklaces,"ID No.: SDP-OVCSBT001<br>Colour: PARTI TEAL<br>Shape: OVAL<br>Weight: 0.95ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,Necklaces,0.95,"Parti Teal",,"The Montrose necklace displays a gorgeous Oval Cut Australian Parti Teal Sapphire, surrounded by an intricate halo of white diamonds with a point at the bottom. This style is crafted in 18ct White and Yellow Gold.",
SDP-OVCSBT002,"Sapphire Dreams",7.00x5.00mm,1.00,Necklaces,"ID No.: SDP-OVCSBT002<br>Colour: PARTI TEAL<br>Shape: OVAL<br>Weight: 1.00ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,Necklaces,1.00,"Parti Teal",,"This classic oval cut Parti Teal Australian Sapphire is beautifully haloed by an array of round cut White Diamonds, set in an 18ct Yellow Gold claw. This pendant comes crafted on an 18ct White Gold chain, a durable and long lasting precious metal.",
SDP-OVCSBT003,"Sapphire Dreams",7.00x5.00mm,0.78,Necklaces,"ID No.: SDP-OVCSBT003<br>Colour: PARTI TEAL<br>Shape: OVAL<br>Weight: 0.78ct<br>Size: 7.00x5.00mm<br>Origin: AUSTRALIA",Oval,Necklaces,0.78,"Parti Teal",,"This classic oval cut Parti Teal Australian Sapphire is beautifully haloed by an array of round cut White Diamonds, set in an 18ct Yellow Gold claw. This pendant comes crafted on an 18ct White Gold chain, a durable and long lasting precious metal.",
